Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
2,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
3,fungal infection,itching, skin_rash, dischromic _patches,
4,fungal infection,itching, skin_rash, nodal_skin_eruptions,
5,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
6,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
7,fungal infection,itching, skin_rash, dischromic _patches,
8,fungal infection,itching, skin_rash, nodal_skin_eruptions,
9,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
10,allergy, continuous_sneezing, shivering, chills, watering_from_eyes
11,allergy, shivering, chills, watering_from_eyes,
12,allergy, continuous_sneezing, chills, watering_from_eyes,
13,allergy, continuous_sneezing, shivering, watering_from_eyes,
14,allergy, continuous_sneezing, shivering, chills,
15,allergy, shivering, chills, watering_from_eyes,
16,allergy, continuous_sneezing, chills, watering_from_eyes,
17,allergy, continuous_sneezing, shivering, watering_from_eyes,
18,allergy, continuous_sneezing, shivering, chills,
19,allergy, continuous_sneezing, shivering, chills, watering_from_eyes
20,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
21,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough
22,gerd, stomach_pain, acidity, vomiting, cough
23,gerd, stomach_pain, acidity, ulcers_on_tongue, cough
24,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
25,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
26,gerd, acidity, ulcers_on_tongue, vomiting, cough
27,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough
28,gerd, stomach_pain, acidity, vomiting, cough
29,gerd, stomach_pain, acidity, ulcers_on_tongue, cough
30,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
31,chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
32,chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
33,chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
